type,name,age,error,parent
stage,Campanian,83.6,0.2,Upper Cretaceous
stage,Maastrichtian,72.1,0.2,Upper Cretaceous
era,Cenozoic,66,,Phanerozoic
period,Paleogene,66,,Cenozoic
series,Paleocene,66,,Paleogene
stage,Danian,66,,Paleocene
stage,Selandian,61.6,,Paleocene
stage,Thanetian,59.2,,Paleocene
series,Eocene,56,,Paleogene
stage,Ypresian,56,,Eocene
stage,Lutetian,47.8,,Eocene
stage,Bartonian,41.2,,Eocene
stage,Priabonian,37.71,,Eocene
series,Oligocene,33.9,,Paleogene
stage,Rupelian,33.9,,Oligocene
stage,Chattian,27.82,,Oligocene
period,Neogene,23.03,,Cenozoic
series,Miocene,23.03,,Neogene
stage,Aquitanian,23.03,,Miocene
stage,Burdigalian,20.44,,Miocene
stage,Langhian,15.97,,Miocene
stage,Serravallian,13.82,,Miocene
stage,Tortonian,11.63,,Miocene
stage,Messinian,7.246,,Miocene
series,Pliocene,5.333,,Neogene
stage,Zanclean,5.333,,Pliocene
stage,Piacenzian,3.6,,Pliocene
period,Quaternary,2.58,,Cenozoic
series,Pleistocene,2.58,,Quaternary
stage,Gelasian,2.58,,Pleistocene
stage,Calabrian,1.8,,Pleistocene
stage,Chibanian,0.774,,Pleistocene
stage,Upper Pleistocene,0.129,,Pleistocene
series,Holocene,0.0117,,Quaternary
stage,Greenlandian,0.0117,,Holocene
stage,Northgrippian,0.0082,,Holocene
stage,Meghalayan,0.0042,,Holocene
