X;Y;region;departement;commune;site;start;end;period;theme;type
561537;6689816;Centre;Loir-et-Cher;Faverolles-sur-Cher;La Chapelle de Senelles;2005-03-14;2005-04-15;#Antiquité#Moyen Âge;#Habitats, architecture, édifices#Industrie, artisanat;fouille
556628;6528105;Limousin;Haute-Vienne;Verneuil-sur-Vienne;La Rivaille;2005-03-29;2005-04-15;#Protohistoire;;fouille
863872,02;6330171,6;Provences-Alpes-Côte-d'Azur;Vaucluse;Carpentras;Boulevard Clemenceau;2005-02-28;2005-04-22;#Antiquité;;fouille
588643;6817431;Centre;Eure-et-Loir;Chartres;11-13, rue des Fileurs;2004-12-06;2005-04-29;#Antiquité#Moyen Âge;;fouille
540440;6691060;Centre;Indre-et-Loire;Athée-sur-Cher;Chomedormeau;2005-01-17;2005-04-29;#Néolithique#Protohistoire#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
565938;6690329;Centre;Loir-et-Cher;Angé;Le Bois de la Faix;2005-02-17;2005-04-30;#Protohistoire;#Habitats, architecture, édifices#Industrie, artisanat;fouille
678218,46;6985785,558;Picardie;Somme;Méaulte;Plateforme aéro-industrielle de Haute-Picardie;2005-04-11;2005-04-30;#Néolithique#Protohistoire#Antiquité#Moyen Âge;;fouille
536320;6691550;Centre;Indre-et-Loire;Truyes;Les Grandes Maisons;2005-04-21;2005-05-13;#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
928625;6686567;Franche-Comté;Doubs;Besançon;Place de la Révolution;2005-03-21;2005-05-17;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat;fouille
559439;6689833;Centre;Loir-et-Cher;Épeigné-les-Bois;Le Marchais Rond - Les Allets;2005-03-21;2005-05-27;#Néolithique#Protohistoire#Antiquité#Moyen Âge;#Habitats, architecture, édifices;fouille
892024,94;6246354,07;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;"165 rue Sainte, 5&8209;7  rue du Commandant-Lamy";2005-05-09;2005-05-27;#Antiquité#Moderne, Contemporain;;fouille
571513;6689387;Centre;Loir-et-Cher;Mareuil-sur-Cher;Le Casseux;2005-04-04;2005-06-03;#Néolithique;#Habitats, architecture, édifices#Industrie, artisanat;fouille
900675,14;6263939,79;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Gardanne;Font-de-Garach;2005-05-17;2005-06-09;#Antiquité#Autres périodes;;fouille
1176503,61;6109391,62;Corse;Corse-du-Sud;Ajaccio;Espace Alban;2005-03-14;2005-06-10;#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
680551,2984309;7018705,4656371;Nord-Pas-de-Calais;Pas-de-Calais;Dainville;Gérico;2005-02-21;2005-06-17;#Protohistoire#Antiquité#Moderne, Contemporain;;fouille
926200;6902500;Lorraine;Moselle;Norroy-le-Veneur;ZAC du Centre Relais;2005-02-21;2005-06-20;#Moyen Âge;;fouille
844242,37;6340855,78;Provences-Alpes-Côte-d'Azur;Vaucluse;Orange;La Croix-Rouge;2005-06-01;2005-06-24;#Antiquité;;fouille
282415;6711640;Pays de la Loire;Loire-Atlantique;Piriac-sur-Mer;Z.A. du Pladreau - La villa du Pladreau à Piriac-sur-Mer;2005-04-01;2005-06-30;#Protohistoire#Antiquité#Moyen Âge;;fouille
567936;6689763;Centre;Loir-et-Cher;Angé;Preuilland-Le Petit Jardin;2005-02-01;2005-07-01;#Néolithique;#Habitats, architecture, édifices#Industrie, artisanat;fouille
657965;6857678;Ile-de-France;Val-de-Marne;Saint-Maurice;Les Serres de l'hôpital Esquirol;2005-05-10;2005-07-11;#Moderne, Contemporain;;fouille
1026810;6776632;Alsace;Haut-Rhin;Sainte-Croix-en-Plaine;Ancien échangeur, gendarmerie;2005-05-13;2005-07-17;#Protohistoire;;fouille
826803;6383106;Rhône-Alpes;Ardèche;Alba-la-Romaine;Le Clos;2005-07-20;2005-07-29;#Antiquité;;fouille
580848;6439008;Limousin;Corrèze;Nespouls;La Bille, El Barjou, Le Lacaud;2005-06-06;2005-08-05;#Antiquité;;fouille
774980;6907790;Champagne-Ardenne;Marne;Reims;12  rue Duquenelle;2005-07-18;2005-08-09;#Antiquité;#Cultes et pratiques funéraires#Échange et transport;fouille
730177,478;6466125,547;Auvergne;Haute-Loire;Brioude;Place Grégoire-de-Tours ;2005-10-15;2005-08-15;#Moyen Âge#Moderne, Contemporain;;fouille
547245;6689661;Centre;Indre-et-Loire;Sublaines;Le Grand Ormeau;2005-02-28;2005-08-27;#Néolithique#Protohistoire#Antiquité;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
895929,97;6272615,24;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Aix-en-Provence;ZAC de Ravanas;2005-07-05;2005-09-02;#Protohistoire#Antiquité;;fouille
532879;6692375;Centre;Indre-et-Loire;Esvres;Les Billettes;2005-05-17;2005-09-15;#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
893115,19;6247671,481;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;53-63 rue Bernard-du-Bois;2005-06-19 00:00:00;2005-09-19 00:00:00;#Paléolithique, Mésolithique#Antiquité#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat;fouille
809451,85;6305271,77;Languedoc-Roussillon;Gard;Nîmes;Place du Chapitre et ses abords;2005-07-04;2005-09-27;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
422487;6773139;Pays de la Loire;Mayenne;Entrammes;La Carie;2005-07-18;2005-11-10;#Protohistoire#Antiquité#Moyen Âge;;fouille
756542,738;6754579,48;Bourgogne;Yonne;Ligny-le-Châtel;La Coupe au Meunier, Le Ru Carbone;2005-03-01;2005-11-30;#Protohistoire#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
679090;6687543;Centre;Cher;Neuvy-Deux-Clochers;Tour de Vesvre 3;2005-05-01;2005-11-30;#Moyen Âge;;fouille
670892;6830059;Ile-de-France;Seine-et-Marne;Cesson;Plaine du Moulin à Vent, zone sud;2005-11-15;2005-12-01;#Protohistoire#Antiquité;;fouille
840962,075;6580396,596;Bourgogne;Côte-d'Or;Mâcon;Angle rue Tilladet et Epinoches;2005-09-26;2005-12-06;#Antiquité;;fouille
892374,575;6247606,146;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Parking République;2005-05-11;2005-12-23;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
892374,575;6247606,146;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Parking République;2005-05-11 00:00:00;2005-12-23 00:00:00;#Antiquité#Moyen Âge;#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
618202;6755905;Centre;Loiret;Orléans;La Loire;1971-01-01;2005-12-31;#Antiquité#Moyen Âge#Moderne, Contemporain;#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Vie quotidienne, usages;fouille
525586,25;6702281,06;Centre;Indre-et-Loire;Tours;Pont 1, dit «de l'île Saint-Jacques»;2000-01-01;2005-12-31;#Antiquité;#Peuplement, occupation espace;fouille
775110;6906840;Champagne-Ardenne;Marne;Reims;5 et 7, rue de Pouilly;2005-09-12;2006-02-15;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;#Échange et transport#Habitats, architecture, édifices;fouille
720792,752;6971502,293;Picardie;Aisne;Saint-Quentin;Angle des rues Voltaire et des Faucons;2005-02-01 00:00:00;2006-02-28 00:00:00;#Moyen Âge;#Arts, biens de prestige;fouille
931370;6895309;Lorraine;Moselle;Metz;Esplanade;2006-01-16;2006-03-01;;;fouille
326573;6830849;Bretagne;Côtes-d'Armor;Taden;Les Alleux;2005-10-07;2006-03-03;#Antiquité;;fouille
336162;6746750;Bretagne;Ille-et-Vilaine;Langon;La Lande du Moulin;2006-01-09;2006-03-09;#Néolithique;;fouille
349990;6691407;Pays de la Loire;Loire-Atlantique;Saint-Herblain;Zone d'aménagement d'Ar Mor;2004-11-14;2006-03-17;#Néolithique#Protohistoire#Antiquité#Moyen Âge;;fouille
501146;6621659;Poitou-Charentes;Vienne;Saint-Georges-lès-Baillargeaux;Les Varennes;2005-11-21;2006-03-24;#Néolithique#Protohistoire#Antiquité;;fouille
938227;6558676;Rhône-Alpes;Haute-savoie;Présilly;Eccorçon-Les Murailles;2005-10-01;2006-03-30;;;fouille
779935;6800295;Champagne-Ardenne;Aube;Troyes;Place de la Libération;2004-08-03;2006-03-31;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
892731,472;6247032,248;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;République-Surverse Vieux-Port;2006-03-01;2006-04-01;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
892731,472;6247031,248;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;République surverse;2006-02-13 00:00:00;2006-04-14 00:00:00;#Antiquité#Moyen Âge#Moderne, Contemporain;#Archéologie des conflits#Peuplement, occupation espace;fouille
771192,053;6279887,489;Languedoc-Roussillon;Hérault;Montpellier;Rue Fontaine du Pila;2005-12-05;2006-04-15;#Néolithique;;fouille
780380;6800430;Champagne-Ardenne;Aube;Troyes;Troyes Campus;2006-01-09;2006-04-18;#Moyen Âge#Moderne, Contemporain;;fouille
1030615,91;6283308,47;Provences-Alpes-Côte-d'Azur;Alpes Maritimes;Antibes;Bas-Lauvert;2006-01-09;2006-04-21;#Antiquité;;fouille
619409;6756045;Centre;Loiret;Orléans;Rue de l'Abreuvoir;2006-02-13;2006-04-21;#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
669591;6831560;Ile-de-France;Seine-et-Marne;Savigny-le-Temple;Le Mont Blanc;2004-08-01;2006-05-01;#Protohistoire#Antiquité;#Échange et transport#Habitats, architecture, édifices;fouille
585930;6895600;Haute-Normandie;Eure;Notre-Dame-de-l'Isle;La plaine du moulin à vent;2006-02-08;2006-05-08;#Protohistoire;;fouille
670321;6830101;Ile-de-France;Seine-et-Marne;Cesson;Plaine du Moulin à Vent (ext. sud bassin);2006-03-08;2006-05-08;#Protohistoire;#Habitats, architecture, édifices#Peuplement, occupation espace;fouille
671295;6831067;Ile-de-France;Seine-et-Marne;Cesson;Plaine du Moulin à Vent (protohistorique);2006-04-20;2006-05-31;#Protohistoire;#Habitats, architecture, édifices#Peuplement, occupation espace;fouille
574380;6278377;Midi-Pyrénées;Haute-Garonne;Toulouse;Cité Judiciaire;1999-06-01;2006-06-30;#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices;fouille
837820;6378927;Rhône-Alpes;Drôme;Châteauneuf-du-Rhône;La Labre;2006-03-27;2006-06-30;#Protohistoire#Antiquité;;fouille
1019463;6800833;Alsace;Haut-Rhin;Bergheim;Lieux-dits Froen et Böckenbrück;2006-06-01;2006-06-30;#Antiquité;;fouille
670620;6831755;Ile-de-France;Seine-et-Marne;Cesson;Plaine du Moulin à Vent (gallo-romain);2006-03-20;2006-07-21;#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
754227,303;6920714,881;Picardie;Aisne;Beaurieux;La Plaine;2006-05-22;2006-07-21;#Néolithique;;fouille
627940;6778029;Centre;Loiret;Neuville-aux-Bois;La Grande Route (A19-C1);2006-04-01;2006-07-31;#Protohistoire;;fouille
648490;6778991;Centre;Loiret;Courcelles;Le Haut de l'Aunette (A19);2006-06-01;2006-07-31;#Protohistoire;;fouille
527034;6706770;Centre;Indre-et-Loire;Notre-Dame-d'Oé;Le Tertreau;2006-07-15;2006-08-15;#Antiquité;;fouille
561677;6883068;Haute-Normandie;Eure;Parville;Bois de Parville;2006-02-06;2006-08-25;#Protohistoire#Antiquité;;fouille
689193,153;7038413,6;Nord-Pas-de-Calais;Pas-de-Calais;Loison-sous-Lens;Parc d'activité des Oiseaux;2006-04-01;2006-08-31;#Néolithique;;fouille
355864,382;6689490,861;Pays de la Loire;Loire-Atlantique;Nantes;Château des ducs de Bretagne (tour philippienne);2003-08-01 00:00:00;2006-0830 00:00:00;#Moyen Âge;#Habitats, architecture, édifices;fouille
295046;6758835;Bretagne;Morbihan;Saint-Marcel;Saint-Marcel « Le Bourg » - Les influences culturelles à la fin de l'Antiquité;2006-05-29;2006-09-01;#Antiquité;;fouille
665979;6835812;Ile-de-France;Seine-et-Marne;Lieusaint;Merigest;2006-08-01;2006-09-01;#Protohistoire#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
791492,4;6288539,75;Languedoc-Roussillon;Hérault;Lunel;Mas de Fourques;2006-07-20;2006-09-22;#Protohistoire#Antiquité;;fouille
433785;6805459;Pays de la Loire;Mayenne;Aron;Le Panveau;2006-09-01;2006-10-01;#Protohistoire;;fouille
358588;6624175;Pays de la Loire;Vendée;Aubigny;Le Baillargeau;2006-08-01;2006-10-13;#Protohistoire;;fouille
649635,351;6977706,388;Picardie;Somme;Amiens;Bas Parvis - Marché aux Herbes;2006-05-15;2006-10-15;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
697237,73;7041955,12;Nord-Pas-de-Calais;Pas-de-Calais;Carvin;Carvin, du Néolithique à l'Antiquité;2006-05-15;2006-10-15;#Néolithique#Protohistoire#Antiquité;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
729111,974;7018500,96;Nord-Pas-de-Calais;Nord;Haspres;Les Vallées;2006-10-02;2006-11-09;#Protohistoire#Moyen Âge;;fouille
911927,26;6233824,84;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;La Ciotat;ZAC de la Source du Pré;2006-05-22;2006-11-17;#Antiquité#Moderne, Contemporain;;fouille
575878;6372797;Midi-Pyrénées;Lot;Cahors;166 rue des Hortes;2006-10-16;2006-11-18;#Antiquité#Moyen Âge;;fouille
350175;6696555;Pays de la Loire;Loire-Atlantique;Orvault;ZAC du Vallon des Garettes;2006-10-16;2006-11-22;#Protohistoire;;fouille
775260,72;6906661,08;Champagne-Ardenne;Marne;Reims;Rue  Saint-Symphorien;2006-06-15;2006-11-25;#Antiquité#Moyen Âge#Moderne, Contemporain;#Arts, biens de prestige#Habitats, architecture, édifices;fouille
654592;6877552;Ile-de-France;Val-d'Oise;Sarcelles;Place de la Libération, rue des Piliers, rue Pierre-Brossolette;2006-11-01;2006-11-30;#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat;fouille
665886;6834373;Ile-de-France;Seine-et-Marne;Lieusaint;Le Champtier à Cailles;2006-06-26;2006-12-12;#Protohistoire#Antiquité#Moyen Âge;#Habitats, architecture, édifices;fouille
717292,914;6520815,611;Auvergne;Puy-de-Dôme;Pont-du-Château;Champ Lamet et Chambussière;2006-10-03;2006-12-22;#Néolithique;;fouille
892774,3693;6247180,219;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;La Bourse;1967-01-01 00:00:00;2006-12-31 00:00:00;#Antiquité#Moyen Âge#Moderne, Contemporain;#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
691539;6874332;Ile-de-France;Seine-et-Marne;Meaux;25 rue Saint-Fiacre - 124 rue de Châage;2007-00-00;2007-00-00;#Antiquité;#Habitats, architecture, édifices#Industrie, artisanat;fouille
1005258,99;6265823,21;Provences-Alpes-Côte-d'Azur;Var;Saint-Raphaël;Vieille Église de Saint-Raphaël;2003-01-01;2007-01-01;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
1005258,99;6265823,21;Provences-Alpes-Côte-d'Azur;Var;Saint-Raphaël;Vieille Église de Saint-Raphaël ;2003-01-01;2007-01-01;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
666419;6835790;Ile-de-France;Seine-et-Marne;Lieusaint;Centre commercial 2;2006-09-04;2007-01-05;#Néolithique#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
653990;6777466;Centre;Loiret;Batilly-en-Gâtinais;Les Pierrières (site A19 - I1. 1-2);2006-07-01;2007-01-31;#Protohistoire;;fouille
613460;6771391;Centre;Loiret;Chevilly;La Pièce de Chameul (A19 - A2-7);2006-08-01;2007-01-31;#Protohistoire#Antiquité#Moyen Âge;;fouille
1044642,56;6298133,36;Provences-Alpes-Côte-d'Azur;Alpes Maritimes;Nice;Le Pont Vieux;2006-10-18;2007-02-18;#Moyen Âge#Moderne, Contemporain;;fouille
928479;6686886;Franche-Comté;Doubs;Besançon;85 bis, rue Battant;2007-01-15 00:00:00;2007-02-23 00:00:00;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat;fouille
1001920,97;6266615,53;Provences-Alpes-Côte-d'Azur;Var;Fréjus;Fouille de l'amphithéâtre;2006-04-01;2007-02-28;#Antiquité#Moderne, Contemporain;;fouille
650421,433;6977148,286;Picardie;Somme;Amiens;Des entrepôts et un théâtre gallo-romains à Amiens;2006-09-15;2007-03-15;#Antiquité;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices;fouille
659724;6875617;Ile-de-France;Val-d'Oise;Gonesse;ZAC Entrée sud de Gonesse;2006-10-15;2007-03-15;#Protohistoire#Antiquité;;fouille
625272;6776576;Centre;Loiret;Aschères-le-Marché;"Le Marjolet ; La Cabarne";2006-10-09;2007-03-19;#Antiquité#Moyen Âge;;fouille
525594,24;6701608,25;Centre;Indre-et-Loire;Tours;63-65bis rue Nationale, 9 rue Etienne Palu et 2-8 rue Gambetta;2006-09-01;2007-03-31;#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices;fouille
669580;6864599;Ile-de-France;Seine-et-Marne;Chelles;30-32 rue Gustave-Nast;2006-09-01;2007-03-31;#Néolithique#Protohistoire#Antiquité#Moyen Âge;;fouille
932137;6894450;Lorraine;Moselle;Metz;ZAC du quartier de l'amphithéâtre;2006-03-20;2007-04-04;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
474027;6853198;Basse-Normandie;Orne;Goulet;Le Mont;2007-02-18;2007-04-27;#Néolithique;;fouille
892167,3;6247236,614;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Place de l'îlot Madeleine (îlot 7);2007-01-30 00:00:00;2007-05-02 00:00:00;#Antiquité#Moderne, Contemporain;#Habitats, architecture, édifices#Peuplement, occupation espace;fouille
651751;6574178;Limousin;Creuse;Nouhant;La Ribière;2007-02-26;2007-05-04;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
669843,836;6901018,675;Picardie;Oise;Senlis;Le cimetière médiéval Saint-Rieul;2007-03-12;2007-05-15;#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires;fouille
894967,14;6288343,37;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Le Puy-Sainte-Réparade;Arnajon;2007-04-02;2007-05-15;#Antiquité;#Échange et transport#Habitats, architecture, édifices;fouille
616061;6755993;Centre;Loiret;Orléans;Prieuré de la Madeleine;1998-07-01;2007-05-16;#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
616057;6755958;Centre;Loiret;Orléans;Rue du Faubourg Madeleine - le Prieuré de la Madeleine;2006-09-04;2007-05-16;#Moyen Âge#Moderne, Contemporain;;fouille
892982,108;6247674,095;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Boulevard Nédélec;2006-09-04 00:00:00;2007-05-26 00:00:00;#Paléolithique, Mésolithique#Antiquité#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
730566;6257386;Languedoc-Roussillon;Hérault;Valros;Le Pirou - la vigne de Bioaux - le Rec de Ligno;2006-10-23;2007-06-01;#Néolithique#Antiquité;;fouille
1036592,506;6826291,89;Alsace;Bas-Rhin;Meistratzheim;Foegel - Meistratzheim;2007-03-05;2007-06-01;#Néolithique#Protohistoire;;fouille
703677,975;7026102,61;Nord-Pas-de-Calais;Pas-de-Calais;Corbehem;CORBEHEM « rue de Gouy »;2007-05-09;2007-06-15;#Protohistoire;#Habitats, architecture, édifices;fouille
775190;6906455;Champagne-Ardenne;Marne;Reims;Place du cardinal Luçon;2007-04-02;2007-06-28;#Moyen Âge;#Cultes et pratiques funéraires;fouille
349064;6601669;Pays de la Loire;Vendée;Jard-sur-Mer;Le Grand Essart;2007-01-10;2007-06-30;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
939902,47;6309192,66;Provences-Alpes-Côte-d'Azur;Alpes de Haute-Provence;Valensole;Baïsse de Sainte-Anne - Une nécropole de l'Antiquité tardive à Valensole;2007-03-12;2007-06-30;#Antiquité;#Cultes et pratiques funéraires;fouille
650417,6;6989950,223;Picardie;Somme;Villers-Bocage;Parc d'activités de la Montignette;2007-04-23;2007-07-13;#Protohistoire;;fouille
573500;6916500;Haute-Normandie;Eure;Romilly-sur-Andelle;Prieuré Saint-Crespin;2006-07-17;2007-07-17;#Moyen Âge;;fouille
575886;6373002;Midi-Pyrénées;Lot;Cahors;Allées Fénelon;2007-03-05;2007-07-29;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
808760,82;6304513,51;Languedoc-Roussillon;Gard;Nîmes;Parking avenue Jean-Jaurès;2006-10-01;2007-08-04;#Protohistoire#Antiquité#Moderne, Contemporain;#Arts, biens de prestige#Habitats, architecture, édifices;fouille
735783,19;6282075,566;Languedoc-Roussillon;Hérault;Clermont-l'Hérault;L'Estagnol;2007-05-14;2007-08-15;#Antiquité#Moyen Âge;;fouille
459805;6266482;Midi-Pyrénées;Hautes-Pyrénées;Maubourguet;Darré Bourg-Vieux;2007-07-16;2007-08-17;#Moyen Âge;;fouille
742800;6823500;Champagne-Ardenne;Aube;Pont-sur-Seine;Gravières;2007-02-12;2007-08-21;#Protohistoire#Antiquité#Moyen Âge;;fouille
573516;6271958;Midi-Pyrénées;Haute-Garonne;Vieille-Toulouse;5 Chemin de la Planho;2007-02-27;2007-08-31;#Protohistoire;;fouille
417687;6523237;Poitou-Charentes;Charente-Maritime;Saintes;7  Petite rue du Séminaire;2007-07-19;2007-08-31;#Antiquité;#Habitats, architecture, édifices;fouille
892462,547;6247596,021;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;30  14 rue Trinquet;2007-04-10 00:00:00;2007-09-14 00:00:00;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace;fouille
1044850,52;6298409,59;Provences-Alpes-Côte-d'Azur;Alpes Maritimes;Nice;Porte Pairolière;2006-10-23;2007-09-15;#Moyen Âge#Moderne, Contemporain;;fouille
693215;6806385;Ile-de-France;Seine-et-Marne;Ville-Saint-Jacques;Hameau gaulois et <I>villa</I> romaine à Ville-Saint-Jacques;2007-07-23;2007-09-21;#Protohistoire#Antiquité;;fouille
570511,683;6281122,114;Midi-Pyrénées;Haute-Garonne;Toulouse;13 chemin de la Flambère;2007-09-10;2007-10-26;#Néolithique#Protohistoire#Antiquité#Moderne, Contemporain;;fouille
482693;6509611;Poitou-Charentes;Charente;Soyaux;Champ des Rochers;2007-08-13;2007-11-16;#Néolithique#Antiquité;;fouille
893015,643;6247659,136;Provences-Alpes-Côte-d'Azur;Bouches-du-Rhône;Marseille;Voie Nouvelle;2007-09-24 00:00:00;2007-11-16 00:00:00;#Paléolithique, Mésolithique#Antiquité#Moderne, Contemporain;#Habitats, architecture, édifices#Industrie, artisanat;fouille
775475;6906640;Champagne-Ardenne;Marne;Reims;Rue Saint-Symphorien;2007-06-19;2007-11-24;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices#Vie quotidienne, usages;fouille
635474,49;6856410,172;Ile-de-France;Yvelines;Versailles;Cour du Grand Commun - Louis XIII aux origines du château de Versailles;2007-03-19;2007-11-30;#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
470113;6860303;Basse-Normandie;Orne;Ri;DB16013001;2007-06-04;2007-11-30;#Néolithique;;fouille
795023;6516930;Rhône-Alpes;Loire;Feurs;Rue Camille-Pariat - Une maison romaine sous le centre hospitalier de Feurs;2007-10-15;2007-12-04;#Antiquité;;fouille
742092,2;6612152,841;Auvergne;Allier;Chevagnes;Les maisons fortes du bas Moyen Âge à Chevagnes;2007-10-10;2007-12-05;#Moyen Âge;#Habitats, architecture, édifices;fouille
926300;6911800;Lorraine;Moselle;Vitry-sur-Orne;ZAC de La Plaine - Vallange, un village retrouvé;2007-03-08;2007-12-14;#Antiquité#Moyen Âge;#Habitats, architecture, édifices#Industrie, artisanat;fouille
667649;6837347;Ile-de-France;Seine-et-Marne;Lieusaint;ZAC de la Pyramide, lots D-E-F;2004-06-24;2007-12-19;#Antiquité#Moyen Âge;#Habitats, architecture, édifices;fouille
574629,43;6276312,206;Midi-Pyrénées;Haute-Garonne;Toulouse;16 rue Rambaud;2007-09-17;2007-12-21;#Protohistoire;;fouille
423491;6519497;Poitou-Charentes;Charente-Maritime;Chaniers;Les Groies;2007-10-01;2007-12-21;#Moyen Âge;#Cultes et pratiques funéraires;fouille
1031659,284;6844943,344;Alsace;Bas-Rhin;Marlenheim;Le Clos du Marlenberg;2007-08-06;2008-01-09;#Néolithique#Protohistoire#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat;fouille
574318;6277030;Midi-Pyrénées;Haute-Garonne;Toulouse;105 rue Saint-Roch;2007-09-25;2008-01-22;#Protohistoire#Antiquité;;fouille
1230401;6180962;Corse;Corse-du-Sud;Lucciana;Torricella;2007-12-10;2008-03-07;#Antiquité;;fouille
858647;6440504;Rhône-Alpes;Drôme;Romans-sur-Isère;Contournement nord-ouest de Romans;2007-11-05;2008-03-11;#Protohistoire#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat;fouille
390071;6788332;Bretagne;Ille-et-Vilaine;Vitré;Boulevard de Laval - La Grande Haie;2007-10-15;2008-04-08;#Protohistoire;#Habitats, architecture, édifices;fouille
619918;6758429;Centre;Loiret;Orléans;ZAC du Clos de la Fontaine;2007-07-02;2008-04-11;#Paléolithique, Mésolithique#Protohistoire#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Habitats, architecture, édifices#Peuplement, occupation espace;fouille
1034969,07;6293905,18;Provences-Alpes-Côte-d'Azur;Alpes Maritimes;Cagnes-sur-Mer;Le Béal II;2008-02-11;2008-04-12;#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Industrie, artisanat;fouille
1024400;6788000;Alsace;Haut-Rhin;Colmar;Des inhumations en fosses-silos et deux colliers en cuivre du Néolithique;2008-03-25;2008-05-23;#Néolithique;#Agriculture, élevage#Arts, biens de prestige#Cultes et pratiques funéraires#Habitats, architecture, édifices#Vie quotidienne, usages;fouille
434160;6274344;Aquitaine;Pyrénées-Atlantiques;Claracq;Chemin de la Lande;2008-04-21;2008-05-30;#Protohistoire;#Cultes et pratiques funéraires;fouille
567344;6289720;Midi-Pyrénées;Haute-Garonne;Seilh;Château Percin;2007-11-19;2008-06-13;#Néolithique;#Habitats, architecture, édifices;fouille
951627;6585218;Rhône-Alpes;Haute-savoie;Chens-sur-Léman;Rue de Charnage - Un village du Bronze final à Chens-sur-Léman;2008-01-07;2008-06-13;#Protohistoire;;fouille
