X;Y;region;departement;commune;site;start;end;period;theme;type
582000;6902000;Haute-Normandie;Eure;Bouafles;La Plante à Tabac;2003-05-05;2003-07-18;#Néolithique;;fouille
881056;6519336;Rhône-Alpes;Isère;Optevoz;Chemin de la Cure Bataillier;2003-07-17;2003-07-21;#Moyen Âge#Autres périodes;;fouille
719422,442;6915202,639;Picardie;Aisne;Ploisy;Zone 6 Bras De Fer;2003-06-23;2003-07-25;#Antiquité;;fouille
1010449;6802126;Alsace;Haut-Rhin;Sainte-Marie-aux-Mines;Mine Saint-Louis Eisenthür;2003-07-15;2003-08-02;#Moyen Âge#Moderne, Contemporain;;fouille
808779,33;6304316,46;Languedoc-Roussillon;Gard;Nîmes;78 avenue Jean-Jaurès;2003-07-07;2003-08-14;#Antiquité;;fouille
800920;6873135;Champagne-Ardenne;Marne;Saint-Memmie;9, rue du Pont-Alips;2003-07-29;2003-08-22;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
685195;6870835;Ile-de-France;Seine-et-Marne;Lesches;Les Prés de Refuge;2003-03-15;2003-08-31;#Protohistoire;;fouille
693037;6873841;Ile-de-France;Seine-et-Marne;Meaux;Zi Nord, Lot D1;2003-07-28;2003-08-31;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
775480;6905810;Champagne-Ardenne;Marne;Reims;Rue de l'Équerre;2000-06-21;2003-09-01;#Antiquité;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat;fouille
844763;6427410;Rhône-Alpes;Ardèche;Saint-Péray;Chavas;2003-06-30;2003-09-09;#Protohistoire;;fouille
284116;6828878;Bretagne;Côtes-d'Armor;Quessoy;Le Clos Maillard;2003-08-04;2003-09-09;#Protohistoire;;fouille
775480;6906720;Champagne-Ardenne;Marne;Reims;19, rue Eugène-Desteuque;2003-02-10;2003-09-15;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
514500;6886300;Haute-Normandie;Eure;Capelle-les-Grands;Les Terres-Noires;2003-05-12;2003-09-15;#Antiquité#Moyen Âge;;fouille
347070;6966785;Basse-Normandie;Manche;Omonville-la-Petite;La Jupinerie;2003-08-25;2003-09-26;#Néolithique#Protohistoire;;fouille
775475,03;6906733,84;Champagne-Ardenne;Marne;Reims;19  rue Eugène-Desteuque;2003-02-01;2003-09-30;#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
1030646;6845046;Alsace;Bas-Rhin;Marlenheim;Maison apprederis;2003-07-02;2003-09-30;#Protohistoire#Moyen Âge;;fouille
663452;6878154;Ile-de-France;Val-d'Oise;Roissy-en-France;Le Moulin;2003-09-08;2003-10-20;#Moderne, Contemporain;;fouille
573280;6902360;Haute-Normandie;Eure;Muids;Le Gorgeon des Rues 2;2003-08-25;2003-10-22;#Néolithique#Antiquité;;fouille
802760;6870050;Champagne-Ardenne;Marne;Sarry;Les Auges;2003-10-06;2003-10-24;#Protohistoire#Antiquité;;fouille
946600;6809300;Lorraine;Vosges;Vincey;Pontière de la Banvoye, Chemin des pêcheurs;2003-10-13;2003-10-27;#Protohistoire;;fouille
658143;6796782;Ile-de-France;Seine-et-Marne;Buthiers;Le dessus-de-Rochefort;2003-08-01;2003-10-30;#Protohistoire;;fouille
640181;6866813;Ile-de-France;Hauts-de-Seine;Nanterre;Avenue Jules-Quentin;2003-09-08;2003-10-31;#Protohistoire#Antiquité;;fouille
419091;6781027;Pays de la Loire;Mayenne;Laval;Saint-Tugal;2003-05-01;2003-11-01;#Moyen Âge;;fouille
987313;6711773;Franche-Comté;Doubs;Mandeure;Rue de la Récille;2003-09-08;2003-11-17;#Protohistoire#Antiquité#Moyen Âge;;fouille
1045419;6836607;Alsace;Bas-Rhin;Geispolsheim;Forlen;2003-10-20;2003-11-18;#Protohistoire#Moyen Âge;;fouille
608413;6246715;Languedoc-Roussillon;Aude;Mas-Saintes-Puelles;En Courdelle;2003-11-25;2003-11-26;#Moyen Âge;;fouille
1046255;6858287;Alsace;Bas-Rhin;Brumath;Rue du château;2003-10-13;2003-11-28;#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
653067;6868543;Ile-de-France;Seine-Saint-Denis;L'Île-Saint-Denis;66-70, Rue Du Landy;2003-11-17;2003-11-28;#Protohistoire;;fouille
601287,906;7064508,01;Nord-Pas-de-Calais;Pas-de-Calais;Saint-Étienne-au-Mont;Rue des Écoles;2003-11-03;2003-12-12;#Néolithique#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
525011;6701461;Centre;Indre-et-Loire;Tours;Hôpital Clocheville;2003-01-01;2003-12-31;#Protohistoire#Antiquité#Moyen Âge;#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Peuplement, occupation espace;fouille
664054;6837047;Ile-de-France;Seine-et-Marne;Tigery;ZAC des Fossés Neufs;2003-01-01;2003-12-31;#Protohistoire#Antiquité#Moyen Âge;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices;fouille
774850;6906310;Champagne-Ardenne;Marne;Reims;15  rue Clovis;2003-10-01;2003-12-31;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;#Habitats, architecture, édifices;fouille
417945,091;6422227,559;Aquitaine;Gironde;Bordeaux;12 place de la Bourse;2002-01-01 00:00:00;2003-12-31 00:00:00;#Moyen Âge;#Agriculture, élevage#Échange et transport;fouille
